model,test_loss,test_acc,test_auc
SimpleCNN,0.09180385539948474,0.96953125,0.9948095703125001
DeepCNN,0.38320707753300665,0.84609375,0.9135815429687499
StrongCNN,0.24892134198453278,0.9015625,0.9625439453125001
