model,test_loss,test_acc,test_auc
SimpleCNN,0.0414296399924529,0.9844444444444445,0.9993086419753087
StrongCNN,0.2508702368537585,0.92,0.9638913580246914
DeepCNN,0.28524367994732325,0.8977777777777778,0.9588148148148148
