Model,Accuracy,AUC,Sensitivity,Specificity,Precision,F1-Score,False_Negatives,False_Positives
SimpleCNN,0.9844444444444445,0.9992888888888889,0.9777777777777777,0.9911111111111112,0.990990990990991,0.9843400447427293,5,2
ResNet50,0.9977777777777778,0.9999802469135802,1.0,0.9955555555555555,0.995575221238938,0.9977827050997783,0,1
